,country,year,sex,age,suicides_no,population,suicides_100k_pop,country_year,HDI_for_year,gdp_for_year,gdp_per_capital,generation,ISO_code,countries,ECONOMIC FREEDOM
34,Albania,1989,female,75+ years,0,37000,0,Albania1989,0.645,2335124988,833,G.I. Generation,,,
35,Albania,1989,male,5-14 years,0,349700,0,Albania1989,0.645,2335124988,833,Generation X,,,
36,Albania,1992,male,35-54 years,12,343800,3.49,Albania1992,0.626,709452584,251,Boomers,,,
37,Albania,1992,male,15-24 years,9,263700,3.41,Albania1992,0.626,709452584,251,Generation X,,,
38,Albania,1992,male,55-74 years,5,159500,3.13,Albania1992,0.626,709452584,251,Silent,,,
39,Albania,1992,male,25-34 years,7,245500,2.85,Albania1992,0.626,709452584,251,Boomers,,,
40,Albania,1992,female,15-24 years,7,292400,2.39,Albania1992,0.626,709452584,251,Generation X,,,
41,Albania,1992,female,25-34 years,4,267400,1.5,Albania1992,0.626,709452584,251,Boomers,,,
42,Albania,1992,female,35-54 years,2,323100,0.62,Albania1992,0.626,709452584,251,Boomers,,,
43,Albania,1992,female,55-74 years,1,164900,0.61,Albania1992,0.626,709452584,251,Silent,,,
44,Albania,1992,female,5-14 years,0,336700,0,Albania1992,0.626,709452584,251,Millenials,,,
45,Albania,1992,female,75+ years,0,38700,0,Albania1992,0.626,709452584,251,G.I. Generation,,,
46,Albania,1992,male,5-14 years,0,362900,0,Albania1992,0.626,709452584,251,Millenials,,,
47,Albania,1992,male,75+ years,0,23900,0,Albania1992,0.626,709452584,251,G.I. Generation,,,
48,Albania,1993,male,15-24 years,18,243300,7.4,Albania1993,0.61,1228071038,437,Generation X,,,
49,Albania,1993,male,55-74 years,7,165000,4.24,Albania1993,0.61,1228071038,437,Silent,,,
50,Albania,1993,male,75+ years,1,24200,4.13,Albania1993,0.61,1228071038,437,G.I. Generation,,,
51,Albania,1993,male,25-34 years,9,230100,3.91,Albania1993,0.61,1228071038,437,Boomers,,,
52,Albania,1993,female,15-24 years,10,285300,3.51,Albania1993,0.61,1228071038,437,Generation X,,,
53,Albania,1993,male,35-54 years,10,350300,2.85,Albania1993,0.61,1228071038,437,Boomers,,,
54,Albania,1993,female,25-34 years,7,261800,2.67,Albania1993,0.61,1228071038,437,Boomers,,,
55,Albania,1993,female,35-54 years,7,331200,2.11,Albania1993,0.61,1228071038,437,Boomers,,,
56,Albania,1993,female,55-74 years,2,169500,1.18,Albania1993,0.61,1228071038,437,Silent,,,
57,Albania,1993,female,5-14 years,1,340300,0.29,Albania1993,0.61,1228071038,437,Millenials,,,
58,Albania,1993,male,5-14 years,1,367000,0.27,Albania1993,0.61,1228071038,437,Millenials,,,
59,Albania,1993,female,75+ years,0,39300,0,Albania1993,0.61,1228071038,437,G.I. Generation,,,
60,Albania,1994,male,75+ years,2,24600,8.13,Albania1994,0.613,1985673798,697,G.I. Generation,,,
61,Albania,1994,male,55-74 years,11,171400,6.42,Albania1994,0.613,1985673798,697,Silent,,,
62,Albania,1994,female,75+ years,2,39900,5.01,Albania1994,0.613,1985673798,697,G.I. Generation,,,
63,Albania,1994,male,25-34 years,6,231400,2.59,Albania1994,0.613,1985673798,697,Boomers,,,
64,Albania,1994,male,35-54 years,9,362800,2.48,Albania1994,0.613,1985673798,697,Boomers,,,
65,Albania,1994,male,15-24 years,6,242200,2.48,Albania1994,0.613,1985673798,697,Generation X,,,
66,Albania,1994,female,15-24 years,6,282600,2.12,Albania1994,0.613,1985673798,697,Generation X,,,
67,Albania,1994,female,25-34 years,4,261100,1.53,Albania1994,0.613,1985673798,697,Boomers,,,
68,Albania,1994,female,35-54 years,2,342500,0.58,Albania1994,0.613,1985673798,697,Boomers,,,
69,Albania,1994,female,55-74 years,1,174600,0.57,Albania1994,0.613,1985673798,697,Silent,,,
70,Albania,1994,male,5-14 years,1,371800,0.27,Albania1994,0.613,1985673798,697,Millenials,,,
71,Albania,1994,female,5-14 years,0,344400,0,Albania1994,0.613,1985673798,697,Millenials,,,
72,Albania,1995,male,25-34 years,13,232900,5.58,Albania1995,0.619,2424499009,835,Generation X,ALB,Albania,5.01
73,Albania,1995,male,55-74 years,9,178000,5.06,Albania1995,0.619,2424499009,835,Silent,ALB,Albania,5.01
74,Albania,1995,female,75+ years,2,40800,4.9,Albania1995,0.619,2424499009,835,G.I. Generation,ALB,Albania,5.01
75,Albania,1995,female,15-24 years,13,283500,4.59,Albania1995,0.619,2424499009,835,Generation X,ALB,Albania,5.01
76,Albania,1995,male,15-24 years,11,241200,4.56,Albania1995,0.619,2424499009,835,Generation X,ALB,Albania,5.01
77,Albania,1995,male,75+ years,1,25100,3.98,Albania1995,0.619,2424499009,835,G.I. Generation,ALB,Albania,5.01
78,Albania,1995,male,35-54 years,14,375900,3.72,Albania1995,0.619,2424499009,835,Boomers,ALB,Albania,5.01
79,Albania,1995,female,25-34 years,7,264000,2.65,Albania1995,0.619,2424499009,835,Generation X,ALB,Albania,5.01
80,Albania,1995,female,35-54 years,8,356400,2.24,Albania1995,0.619,2424499009,835,Boomers,ALB,Albania,5.01
81,Albania,1995,male,5-14 years,6,376500,1.59,Albania1995,0.619,2424499009,835,Millenials,ALB,Albania,5.01
82,Albania,1995,female,55-74 years,2,180400,1.11,Albania1995,0.619,2424499009,835,Silent,ALB,Albania,5.01
83,Albania,1995,female,5-14 years,2,348700,0.57,Albania1995,0.619,2424499009,835,Millenials,ALB,Albania,5.01
84,Albania,1996,male,75+ years,2,25400,7.87,Albania1996,0.632,3314898292,1127,G.I. Generation,,,
85,Albania,1996,male,15-24 years,17,243600,6.98,Albania1996,0.632,3314898292,1127,Generation X,,,
86,Albania,1996,male,25-34 years,14,235300,5.95,Albania1996,0.632,3314898292,1127,Generation X,,,
87,Albania,1996,female,15-24 years,16,287700,5.56,Albania1996,0.632,3314898292,1127,Generation X,,,
88,Albania,1996,female,75+ years,2,41200,4.85,Albania1996,0.632,3314898292,1127,G.I. Generation,,,
89,Albania,1996,female,25-34 years,10,267900,3.73,Albania1996,0.632,3314898292,1127,Generation X,,,
90,Albania,1996,male,35-54 years,12,379600,3.16,Albania1996,0.632,3314898292,1127,Boomers,,,
91,Albania,1996,female,35-54 years,9,362000,2.49,Albania1996,0.632,3314898292,1127,Boomers,,,
92,Albania,1996,male,55-74 years,3,179900,1.67,Albania1996,0.632,3314898292,1127,Silent,,,
93,Albania,1996,female,55-74 years,1,183100,0.55,Albania1996,0.632,3314898292,1127,Silent,,,
94,Albania,1996,male,5-14 years,2,380400,0.53,Albania1996,0.632,3314898292,1127,Millenials,,,
95,Albania,1996,female,5-14 years,1,354100,0.28,Albania1996,0.632,3314898292,1127,Millenials,,,
96,Albania,1997,male,25-34 years,36,236000,15.25,Albania1997,0.641,2359903108,793,Generation X,,,
97,Albania,1997,male,15-24 years,33,244400,13.5,Albania1997,0.641,2359903108,793,Generation X,,,
98,Albania,1997,male,75+ years,3,25400,11.81,Albania1997,0.641,2359903108,793,G.I. Generation,,,
99,Albania,1997,male,35-54 years,30,380800,7.88,Albania1997,0.641,2359903108,793,Boomers,,,
100,Albania,1997,female,15-24 years,21,294000,7.14,Albania1997,0.641,2359903108,793,Generation X,,,
101,Albania,1997,male,55-74 years,12,180300,6.66,Albania1997,0.641,2359903108,793,Silent,,,
102,Albania,1997,female,25-34 years,16,273900,5.84,Albania1997,0.641,2359903108,793,Generation X,,,
103,Albania,1997,female,75+ years,2,42100,4.75,Albania1997,0.641,2359903108,793,G.I. Generation,,,
104,Albania,1997,female,35-54 years,7,370100,1.89,Albania1997,0.641,2359903108,793,Boomers,,,
105,Albania,1997,female,5-14 years,6,361800,1.66,Albania1997,0.641,2359903108,793,Millenials,,,
106,Albania,1997,male,5-14 years,4,381500,1.05,Albania1997,0.641,2359903108,793,Millenials,,,
107,Albania,1997,female,55-74 years,0,187000,0,Albania1997,0.641,2359903108,793,Silent,,,
108,Albania,1998,male,75+ years,3,25800,11.63,Albania1998,0.652,2707123772,899,G.I. Generation,,,
109,Albania,1998,male,15-24 years,27,248800,10.85,Albania1998,0.652,2707123772,899,Generation X,,,
110,Albania,1998,female,15-24 years,32,295600,10.83,Albania1998,0.652,2707123772,899,Generation X,,,
111,Albania,1998,male,25-34 years,26,240400,10.82,Albania1998,0.652,2707123772,899,Generation X,,,
112,Albania,1998,male,35-54 years,29,388200,7.47,Albania1998,0.652,2707123772,899,Boomers,,,
113,Albania,1998,male,55-74 years,9,183800,4.9,Albania1998,0.652,2707123772,899,Silent,,,
114,Albania,1998,female,25-34 years,10,275300,3.63,Albania1998,0.652,2707123772,899,Generation X,,,
115,Albania,1998,female,55-74 years,6,188200,3.19,Albania1998,0.652,2707123772,899,Silent,,,
116,Albania,1998,female,35-54 years,9,372100,2.42,Albania1998,0.652,2707123772,899,Boomers,,,
117,Albania,1998,male,5-14 years,2,388400,0.51,Albania1998,0.652,2707123772,899,Millenials,,,
118,Albania,1998,female,5-14 years,1,363800,0.27,Albania1998,0.652,2707123772,899,Millenials,,,
119,Albania,1998,female,75+ years,0,42300,0,Albania1998,0.652,2707123772,899,G.I. Generation,,,
120,Albania,1999,male,75+ years,3,25900,11.58,Albania1999,0.662,3414760915,1127,G.I. Generation,,,
121,Albania,1999,male,15-24 years,24,250600,9.58,Albania1999,0.662,3414760915,1127,Generation X,,,
122,Albania,1999,female,75+ years,4,42400,9.43,Albania1999,0.662,3414760915,1127,G.I. Generation,,,
123,Albania,1999,male,35-54 years,31,391100,7.93,Albania1999,0.662,3414760915,1127,Boomers,,,
124,Albania,1999,male,25-34 years,19,242300,7.84,Albania1999,0.662,3414760915,1127,Generation X,,,
125,Albania,1999,male,55-74 years,14,185200,7.56,Albania1999,0.662,3414760915,1127,Silent,,,
126,Albania,1999,female,15-24 years,19,296800,6.4,Albania1999,0.662,3414760915,1127,Generation X,,,
127,Albania,1999,female,25-34 years,13,276500,4.7,Albania1999,0.662,3414760915,1127,Generation X,,,
128,Albania,1999,female,55-74 years,6,188800,3.18,Albania1999,0.662,3414760915,1127,Silent,,,
129,Albania,1999,female,35-54 years,5,373600,1.34,Albania1999,0.662,3414760915,1127,Boomers,,,
130,Albania,1999,female,5-14 years,1,365200,0.27,Albania1999,0.662,3414760915,1127,Millenials,,,
131,Albania,1999,male,5-14 years,0,391300,0,Albania1999,0.662,3414760915,1127,Millenials,,,
132,Albania,2000,male,25-34 years,17,232000,7.33,Albania2000,0.669,3632043908,1299,Generation X,ALB,Albania,6.53
133,Albania,2000,male,55-74 years,10,177400,5.64,Albania2000,0.669,3632043908,1299,Silent,ALB,Albania,6.53
134,Albania,2000,female,75+ years,2,37800,5.29,Albania2000,0.669,3632043908,1299,G.I. Generation,ALB,Albania,6.53
135,Albania,2000,male,75+ years,1,24900,4.02,Albania2000,0.669,3632043908,1299,G.I. Generation,ALB,Albania,6.53
136,Albania,2000,female,15-24 years,6,263900,2.27,Albania2000,0.669,3632043908,1299,Generation X,ALB,Albania,6.53
137,Albania,2000,male,15-24 years,5,240000,2.08,Albania2000,0.669,3632043908,1299,Generation X,ALB,Albania,6.53
138,Albania,2000,female,35-54 years,5,332200,1.51,Albania2000,0.669,3632043908,1299,Boomers,ALB,Albania,6.53
139,Albania,2000,female,25-34 years,3,245800,1.22,Albania2000,0.669,3632043908,1299,Generation X,ALB,Albania,6.53
140,Albania,2000,male,35-54 years,4,374700,1.07,Albania2000,0.669,3632043908,1299,Boomers,ALB,Albania,6.53
141,Albania,2000,male,5-14 years,1,374900,0.27,Albania2000,0.669,3632043908,1299,Millenials,ALB,Albania,6.53
142,Albania,2000,female,5-14 years,0,324700,0,Albania2000,0.669,3632043908,1299,Millenials,ALB,Albania,6.53
143,Albania,2000,female,55-74 years,0,168000,0,Albania2000,0.669,3632043908,1299,Silent,ALB,Albania,6.53
144,Albania,2001,male,25-34 years,22,206484,10.65,Albania2001,0.676,4060758804,1451,Generation X,ALB,Albania,6.6
145,Albania,2001,male,35-54 years,34,378826,8.98,Albania2001,0.676,4060758804,1451,Boomers,ALB,Albania,6.6
146,Albania,2001,male,55-74 years,11,196670,5.59,Albania2001,0.676,4060758804,1451,Silent,ALB,Albania,6.6
147,Albania,2001,female,75+ years,2,47254,4.23,Albania2001,0.676,4060758804,1451,Silent,ALB,Albania,6.6
148,Albania,2001,male,15-24 years,10,256039,3.91,Albania2001,0.676,4060758804,1451,Millenials,ALB,Albania,6.6
149,Albania,2001,female,15-24 years,9,271359,3.32,Albania2001,0.676,4060758804,1451,Millenials,ALB,Albania,6.6
150,Albania,2001,female,35-54 years,12,370191,3.24,Albania2001,0.676,4060758804,1451,Boomers,ALB,Albania,6.6
151,Albania,2001,male,75+ years,1,31044,3.22,Albania2001,0.676,4060758804,1451,Silent,ALB,Albania,6.6
152,Albania,2001,female,55-74 years,6,189799,3.16,Albania2001,0.676,4060758804,1451,Silent,ALB,Albania,6.6
153,Albania,2001,male,5-14 years,6,321556,1.87,Albania2001,0.676,4060758804,1451,Millenials,ALB,Albania,6.6
154,Albania,2001,female,25-34 years,4,222771,1.8,Albania2001,0.676,4060758804,1451,Generation X,ALB,Albania,6.6
155,Albania,2001,female,5-14 years,2,307356,0.65,Albania2001,0.676,4060758804,1451,Millenials,ALB,Albania,6.6
156,Albania,2002,male,75+ years,4,31007,12.9,Albania2002,0.682,4435078648,1573,Silent,ALB,Albania,6.85
157,Albania,2002,male,25-34 years,23,206286,11.15,Albania2002,0.682,4435078648,1573,Generation X,ALB,Albania,6.85
158,Albania,2002,male,35-54 years,35,382139,9.16,Albania2002,0.682,4435078648,1573,Boomers,ALB,Albania,6.85
159,Albania,2002,male,55-74 years,13,198130,6.56,Albania2002,0.682,4435078648,1573,Silent,ALB,Albania,6.85
160,Albania,2002,male,15-24 years,15,263067,5.7,Albania2002,0.682,4435078648,1573,Millenials,ALB,Albania,6.85
161,Albania,2002,female,15-24 years,14,275970,5.07,Albania2002,0.682,4435078648,1573,Millenials,ALB,Albania,6.85
162,Albania,2002,female,35-54 years,15,375113,4,Albania2002,0.682,4435078648,1573,Boomers,ALB,Albania,6.85
163,Albania,2002,female,25-34 years,7,223685,3.13,Albania2002,0.682,4435078648,1573,Generation X,ALB,Albania,6.85
164,Albania,2002,female,75+ years,1,47407,2.11,Albania2002,0.682,4435078648,1573,Silent,ALB,Albania,6.85
165,Albania,2002,female,55-74 years,4,191712,2.09,Albania2002,0.682,4435078648,1573,Silent,ALB,Albania,6.85
166,Albania,2002,female,5-14 years,1,304850,0.33,Albania2002,0.682,4435078648,1573,Millenials,ALB,Albania,6.85
167,Albania,2002,male,5-14 years,1,319473,0.31,Albania2002,0.682,4435078648,1573,Millenials,ALB,Albania,6.85
168,Albania,2003,female,75+ years,6,49088,12.22,Albania2003,0.689,5746945913,2021,Silent,ALB,Albania,7.37
169,Albania,2003,male,55-74 years,16,201520,7.94,Albania2003,0.689,5746945913,2021,Silent,ALB,Albania,7.37
170,Albania,2003,male,35-54 years,28,386196,7.25,Albania2003,0.689,5746945913,2021,Boomers,ALB,Albania,7.37
171,Albania,2003,male,15-24 years,15,273235,5.49,Albania2003,0.689,5746945913,2021,Millenials,ALB,Albania,7.37
172,Albania,2003,female,15-24 years,14,283709,4.93,Albania2003,0.689,5746945913,2021,Millenials,ALB,Albania,7.37
173,Albania,2003,female,55-74 years,9,195699,4.6,Albania2003,0.689,5746945913,2021,Silent,ALB,Albania,7.37
174,Albania,2003,male,25-34 years,9,205433,4.38,Albania2003,0.689,5746945913,2021,Generation X,ALB,Albania,7.37
175,Albania,2003,female,25-34 years,9,222941,4.04,Albania2003,0.689,5746945913,2021,Generation X,ALB,Albania,7.37
176,Albania,2003,female,35-54 years,13,381760,3.41,Albania2003,0.689,5746945913,2021,Boomers,ALB,Albania,7.37
177,Albania,2003,male,75+ years,1,32667,3.06,Albania2003,0.689,5746945913,2021,Silent,ALB,Albania,7.37
178,Albania,2003,male,5-14 years,4,313204,1.28,Albania2003,0.689,5746945913,2021,Millenials,ALB,Albania,7.37
179,Albania,2003,female,5-14 years,0,298477,0,Albania2003,0.689,5746945913,2021,Millenials,ALB,Albania,7.37
180,Albania,2004,male,75+ years,4,35526,11.26,Albania2004,0.694,7314865176,2544,Silent,ALB,Albania,6.97
181,Albania,2004,male,35-54 years,39,391767,9.95,Albania2004,0.694,7314865176,2544,Boomers,ALB,Albania,6.97
182,Albania,2004,male,25-34 years,16,203938,7.85,Albania2004,0.694,7314865176,2544,Generation X,ALB,Albania,6.97
183,Albania,2004,female,15-24 years,20,292268,6.84,Albania2004,0.694,7314865176,2544,Millenials,ALB,Albania,6.97
184,Albania,2004,male,15-24 years,19,286768,6.63,Albania2004,0.694,7314865176,2544,Millenials,ALB,Albania,6.97
185,Albania,2004,female,75+ years,3,50970,5.89,Albania2004,0.694,7314865176,2544,Silent,ALB,Albania,6.97
186,Albania,2004,female,25-34 years,11,222389,4.95,Albania2004,0.694,7314865176,2544,Generation X,ALB,Albania,6.97
187,Albania,2004,male,55-74 years,10,207202,4.83,Albania2004,0.694,7314865176,2544,Silent,ALB,Albania,6.97
188,Albania,2004,female,35-54 years,17,391436,4.34,Albania2004,0.694,7314865176,2544,Boomers,ALB,Albania,6.97
189,Albania,2004,female,55-74 years,3,203841,1.47,Albania2004,0.694,7314865176,2544,Silent,ALB,Albania,6.97
190,Albania,2004,female,5-14 years,3,286705,1.05,Albania2004,0.694,7314865176,2544,Millenials,ALB,Albania,6.97
191,Albania,2004,male,5-14 years,1,302181,0.33,Albania2004,0.694,7314865176,2544,Millenials,ALB,Albania,6.97
192,Albania,2005,female,15-24 years,0,281922,0,Albania2005,0.704,8158548717,2931,Millenials,ALB,Albania,6.96
193,Albania,2005,female,25-34 years,0,190745,0,Albania2005,0.704,8158548717,2931,Generation X,ALB,Albania,6.96
194,Albania,2005,female,35-54 years,0,386513,0,Albania2005,0.704,8158548717,2931,Boomers,ALB,Albania,6.96
195,Albania,2005,female,5-14 years,0,276559,0,Albania2005,0.704,8158548717,2931,Millenials,ALB,Albania,6.96
196,Albania,2005,female,55-74 years,0,210998,0,Albania2005,0.704,8158548717,2931,Silent,ALB,Albania,6.96
197,Albania,2005,female,75+ years,0,53191,0,Albania2005,0.704,8158548717,2931,Silent,ALB,Albania,6.96
198,Albania,2005,male,15-24 years,0,281675,0,Albania2005,0.704,8158548717,2931,Millenials,ALB,Albania,6.96
199,Albania,2005,male,25-34 years,0,177519,0,Albania2005,0.704,8158548717,2931,Generation X,ALB,Albania,6.96
200,Albania,2005,male,35-54 years,0,380242,0,Albania2005,0.704,8158548717,2931,Boomers,ALB,Albania,6.96
201,Albania,2005,male,5-14 years,0,291367,0,Albania2005,0.704,8158548717,2931,Millenials,ALB,Albania,6.96
202,Albania,2005,male,55-74 years,0,214118,0,Albania2005,0.704,8158548717,2931,Silent,ALB,Albania,6.96
203,Albania,2005,male,75+ years,0,38471,0,Albania2005,0.704,8158548717,2931,Silent,ALB,Albania,6.96
204,Albania,2006,female,15-24 years,0,283138,0,Albania2006,0.711,8992642349,3235,Millenials,ALB,Albania,7.14
205,Albania,2006,female,25-34 years,0,186391,0,Albania2006,0.711,8992642349,3235,Generation X,ALB,Albania,7.14
206,Albania,2006,female,35-54 years,0,388746,0,Albania2006,0.711,8992642349,3235,Boomers,ALB,Albania,7.14
207,Albania,2006,female,5-14 years,0,267316,0,Albania2006,0.711,8992642349,3235,Millenials,ALB,Albania,7.14
208,Albania,2006,female,55-74 years,0,215907,0,Albania2006,0.711,8992642349,3235,Silent,ALB,Albania,7.14
209,Albania,2006,female,75+ years,0,56011,0,Albania2006,0.711,8992642349,3235,Silent,ALB,Albania,7.14
210,Albania,2006,male,15-24 years,0,286679,0,Albania2006,0.711,8992642349,3235,Millenials,ALB,Albania,7.14
211,Albania,2006,male,25-34 years,0,174092,0,Albania2006,0.711,8992642349,3235,Generation X,ALB,Albania,7.14
212,Albania,2006,male,35-54 years,0,379076,0,Albania2006,0.711,8992642349,3235,Boomers,ALB,Albania,7.14
213,Albania,2006,male,5-14 years,0,282678,0,Albania2006,0.711,8992642349,3235,Millenials,ALB,Albania,7.14
214,Albania,2006,male,55-74 years,0,219360,0,Albania2006,0.711,8992642349,3235,Silent,ALB,Albania,7.14
215,Albania,2006,male,75+ years,0,40782,0,Albania2006,0.711,8992642349,3235,Silent,ALB,Albania,7.14
216,Albania,2007,male,75+ years,8,42366,18.88,Albania2007,0.72,10701011897,3863,Silent,ALB,Albania,7.21
217,Albania,2007,male,35-54 years,29,378626,7.66,Albania2007,0.72,10701011897,3863,Boomers,ALB,Albania,7.21
218,Albania,2007,male,55-74 years,14,224160,6.25,Albania2007,0.72,10701011897,3863,Silent,ALB,Albania,7.21
219,Albania,2007,female,75+ years,3,57404,5.23,Albania2007,0.72,10701011897,3863,Silent,ALB,Albania,7.21
220,Albania,2007,male,25-34 years,9,172494,5.22,Albania2007,0.72,10701011897,3863,Generation X,ALB,Albania,7.21
221,Albania,2007,female,15-24 years,13,281080,4.63,Albania2007,0.72,10701011897,3863,Millenials,ALB,Albania,7.21
222,Albania,2007,male,15-24 years,13,288349,4.51,Albania2007,0.72,10701011897,3863,Millenials,ALB,Albania,7.21
223,Albania,2007,female,25-34 years,8,183629,4.36,Albania2007,0.72,10701011897,3863,Generation X,ALB,Albania,7.21
224,Albania,2007,female,55-74 years,9,221120,4.07,Albania2007,0.72,10701011897,3863,Silent,ALB,Albania,7.21
225,Albania,2007,female,35-54 years,14,391811,3.57,Albania2007,0.72,10701011897,3863,Boomers,ALB,Albania,7.21
226,Albania,2007,male,5-14 years,4,272497,1.47,Albania2007,0.72,10701011897,3863,Generation Z,ALB,Albania,7.21
227,Albania,2007,female,5-14 years,0,256808,0,Albania2007,0.72,10701011897,3863,Generation Z,ALB,Albania,7.21
228,Albania,2008,male,25-34 years,21,172855,12.15,Albania2008,0.724,12881352688,4672,Generation X,ALB,Albania,7.22
229,Albania,2008,male,35-54 years,37,377119,9.81,Albania2008,0.724,12881352688,4672,Boomers,ALB,Albania,7.22
230,Albania,2008,male,55-74 years,21,228672,9.18,Albania2008,0.724,12881352688,4672,Silent,ALB,Albania,7.22
231,Albania,2008,female,75+ years,5,59369,8.42,Albania2008,0.724,12881352688,4672,Silent,ALB,Albania,7.22
232,Albania,2008,female,15-24 years,20,276073,7.24,Albania2008,0.724,12881352688,4672,Millenials,ALB,Albania,7.22
233,Albania,2008,female,25-34 years,9,182663,4.93,Albania2008,0.724,12881352688,4672,Generation X,ALB,Albania,7.22
234,Albania,2008,female,35-54 years,19,393832,4.82,Albania2008,0.724,12881352688,4672,Boomers,ALB,Albania,7.22
235,Albania,2008,male,75+ years,2,44574,4.49,Albania2008,0.724,12881352688,4672,Silent,ALB,Albania,7.22
236,Albania,2008,male,15-24 years,11,286702,3.84,Albania2008,0.724,12881352688,4672,Millenials,ALB,Albania,7.22
237,Albania,2008,female,55-74 years,7,226448,3.09,Albania2008,0.724,12881352688,4672,Silent,ALB,Albania,7.22
238,Albania,2008,male,5-14 years,7,262464,2.67,Albania2008,0.724,12881352688,4672,Generation Z,ALB,Albania,7.22
239,Albania,2008,female,5-14 years,1,246288,0.41,Albania2008,0.724,12881352688,4672,Generation Z,ALB,Albania,7.22
240,Albania,2009,female,15-24 years,0,270003,0,Albania2009,0.729,12044212904,4387,Millenials,ALB,Albania,7.31
241,Albania,2009,female,25-34 years,0,182712,0,Albania2009,0.729,12044212904,4387,Generation X,ALB,Albania,7.31
242,Albania,2009,female,35-54 years,0,394286,0,Albania2009,0.729,12044212904,4387,Boomers,ALB,Albania,7.31
243,Albania,2009,female,5-14 years,0,236174,0,Albania2009,0.729,12044212904,4387,Generation Z,ALB,Albania,7.31
244,Albania,2009,female,55-74 years,0,233302,0,Albania2009,0.729,12044212904,4387,Silent,ALB,Albania,7.31
245,Albania,2009,female,75+ years,0,61582,0,Albania2009,0.729,12044212904,4387,Silent,ALB,Albania,7.31
246,Albania,2009,male,15-24 years,0,283448,0,Albania2009,0.729,12044212904,4387,Millenials,ALB,Albania,7.31
247,Albania,2009,male,25-34 years,0,174955,0,Albania2009,0.729,12044212904,4387,Generation X,ALB,Albania,7.31
